"Date","Permit Number","Permit Type","Description","Address","Status","Short Notes",
"10/12/2021","PREPLN21-0006","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - FORMER PENZOIL SITE AT THE CORNER OF GRAND ST AND CLEMENT AVE WILL BE REDEVELOPED WITH 90- TOWNHOMES.  DESIGN INCLUDES 40'X115 PARK SPACE AT THE SOUTH OF THE SITE, HOME MIX 2 & 3 BEDROOMS, 1600-200 SF","2015 GRAND ST, ALAMEDA CA 94501",,,
"09/27/2021","PREPLN21-0005","Planning/Pre-Application/NA/NA","PRE-DESIGN REVIEW: THE PROJECT CONSISTS OF INFILL APPROXIMATELY 200 ADDITIONAL UNTIS AND 263,00 GROSS SQUARE FEET INTO A PORTION OF THE 15 ACRE ADMIRALS COVE RESIDENTIAL DEVELOPMENT SITE.  AN EXISTING 4-UNIT BUILDING AT 300 MOSLEY WOULD BE RELOCATED ELSEWHERE ON THE PROPERTY OR DEMOLISHED.","300 MOSLEY AVE, ALAMEDA CA 94501",,,
"09/23/2021","PREPLN21-0004","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - TWO-STORY ADDITION AT THE REAR OF AN EXISTING TWO-STORY SINGLE FAMILY RESIDENCE.  APPROXIMATELY 465 SQUARE FEET","1048 CENTRAL AVE, ALAMEDA CA 94501","Closed","Design Review - Change in bldg. footprint/floor area",
"06/08/2021","PREPLN21-0003","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - WORK/LIVE USE PERMIT PRE-APPLICATION REVIEW","2315 SAN JOSE AVE, ALAMEDA CA 94501",,,
"04/28/2021","PREPLN21-0002","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION - USE PERMIT AND DESIGN REVIEW FOR ASTRA CAMPUS EXPANSION - EXPANSION OF EXISTING ROCKET RESEARCH AND DEVELOPMENT/LIGHT MANUFACTURING FACILITY WITHIN BUILDING 360, DEMOLITION OF BUILDINGS 414 & 163, RENOVATION OF BUILDING 372, ENCLOSURE OF BUILDING 609, NEW FUEL TANKS AND EXPANSION OF OUTDOOR WORK YARDS, EXPANSION OF PARKING, NEW FENCING AROUND PERIMETER, RENOVATION OF BUILDING 170, CONSTRUCTION OF APPROX 7000 SF NEW OFFICE BUILDING, CONSTRUCTION OF NEW APPROX 40,000 SF MANUFACTURING BUILDING,","1900 SKYHAWK ST, Alameda California 94501",,,
"01/19/2021","PREPLN21-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW FOR EXPANDING AN EXISTING SINGLE FAMILY RESIDENCE BY BUILDING A NEW LOWER FLOOR TO CREATE A SECOND UNIT.","2524 CLEMENT AVE, ALAMEDA CA 94501","Closed",,
"10/07/2020","PREPLN20-0010","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PROJECT CONSISTS OF 2 STACKED SHIPPING CONTAINERS AT REAR OF PROPERTY. GENERAL PLAN, NORTH PARK STREET DISTRICT. ZONING, MEDIUM-DENSITY RESIDENTIAL.","2329 EAGLE AVE, ALAMEDA CA 94501","Closed",,
"09/03/2020","PREPLN20-0009","Planning/Pre-Application/NA/NA","PRELIMINARY PLANNING REVIEW - THE PROJECT CONSISTS OF DEMOLITION OF AN EXISTING 529 SF GARAGE AND CONSTRUCTION OF A 657 SF ADU IN THE SAME LOCATION.","1190 ST CHARLES ST, ALAMEDA CA 94501","Closed",,
"08/12/2020","PREPLN20-0008","Planning/Pre-Application/NA/NA","SB330 PRELIMINARY APPLICATION FOR THE MCKAY WELLNESS CENTER","1245 MCKAY AVE, ALAMEDA CA 94501","Closed",,
"07/22/2020","PREPLN20-0007","Planning/Pre-Application/NA/NA","PRE-APP REVIEW - PROJECT CONSISTS OF NEW 2-BEDROOM, 2- BATH DETACHED ADU AT REAR YARD OF SINGLE FAMILY DWELLING. ZONING R-1-PD MEDIUM DENSITY RESIDENTIAL","18 SATH CT, ALAMEDA CA 94502","Closed",,
"06/25/2020","PREPLN20-0006","Planning/Pre-Application/NA/NA","PRE-APPLICATION - PARCEL MAP TO SPLIT EXISTING LOT INTO TWO LOTS (CREATE FLAG LOT SUBDIVISION).","3276 BRIGGS AVE, ALAMEDA CA 94501","Closed",,
"05/19/2020","PREPLN20-0005","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION - RAISE EXISTING 1,780 SQ.FT. HOUSE 10-FEET ABOVE GRADE TO CREATE NEW SECOND STORY.  NEW 1,927 SQ.FT. FIRST FLOOR, 928 SQ.FT. GARAGE, ADD 929 SQ.FT. TO SECOND FLOOR.","2032 ENCINAL AVE, ALAMEDA CA 94501","Closed",,
"04/01/2020","PREPLN20-0004","Planning/Pre-Application/NA/NA","PRE-APPLICATION - CONVERT EXISTING ATTIC SPACE INTO HABITABLE SPACE AND CHANGE ROOF FORM AT THREE-STORY SINGLE-FAMILY HOUSE.","1272 CAROLINE ST, ALAMEDA CA 94501","Closed",,
"03/02/2020","PREPLN20-0003","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION #2 - DESIGN REVIEW TEAM REVIEW - PROPOSED RESIDENTIAL DEVELOPMENT PROJECT ON 2.0 ACRES OF FORMER NAS PROPERTY, SOUTHWEST CORNER OF BETTE STREET AND MOSLEY AVE EXTENSION.","300 MOSLEY AVE, ALAMEDA CA 94501",,,
"01/21/2020","PREPLN20-0002","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REDESIGN EXISTING HIPPED GABLE AT FRONT ELEVATION TO A FRONT FACING GABLE. PROJECT WILL ADD 47 SQUARE FEET OF FLOOR AREA WITHIN ATTIC.","1522 PEARL ST, ALAMEDA CA 94501","Closed",,
"01/16/2020","PREPLN20-0001","Planning/Pre-Application/NA/NA","PRE-APPLICATION - TO ERECT A NEW ONE -STORY MODULAR BUILDING OF 2160 SQUARE FEET ON A LOT CONTAINING AN EXISTING ONE-STORY PRESCHOOL, SMALL SIZE BIG MIND. THE MODULAR BUILDING WOULD SERVE AS ADDITIONAL CLASSROOM SPACE.","2450 PAN AM WAY, ALAMEDA CA 94501","Closed",,
"11/18/2019","PREPLN19-0022","Planning/Pre-Application/NA/NA","PRE-APPLICATION -  EXISTING FOUR (4) UNITS COMPLEX, COMBINE FIRST FLOOR TWO UNITS TO CREATE NEW CHILD CARE FACILITY OF 1,830 SQUARE FEET OF AREA.  PROPOSED NEW OUTDOOR PLAY AREA.  PROPOSED LOT MERGE AND AS PART OF THE PURCHASE TO CREATE NEW EASEMENT FOR VEHICULAR ACESS TO REAR FOR PARKING.  WILL APPLY FOR USE PERMIT AS A PART OF THE APPLICATION.","838 SANTA CLARA AVE, ALAMEDA CA 94501","Information Request",,
"10/10/2019","PREPLN19-0021","Planning/Pre-Application/NA/NA","PRE-APPLICATION FOR VARIANCE IN PERPETUITY FROM LOT SIZE AND DIMENSION REQUIREMENTS OF ARTICLE I, CHAPTER XXX OF CITY OF ALAMEDA ORDINANCE, SECTION 30-4.1.d AND 30-5.6a","139 MECARTNEY RD, ALAMEDA CA 94502","Closed",,
"09/25/2019","PREPLN19-0020","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION FOR RESIDENTIAL DEVELOPMENT AT 2394 MARINER SQUARE DRIVE","2394 MARINER SQUARE DR, ALAMEDA CA 94501","Closed",,
"09/10/2019","PREPLN19-0019","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - BUILD NEW 1,600 SQ.FT SINGLE FAMILY HOME LOCATED AT REAR OF SFD","3359 FERNSIDE BLVD, ALAMEDA CA 94501","Closed",,
"09/09/2019","PREPLN19-0018","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - PROPOSAL TO RAISE EXISTING HOUSE BY APPROXIMATELY THREE FEET","3209 SAN JOSE AVE, ALAMEDA CA 94501","Closed",,
"09/03/2019","PREPLN19-0017","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - TWO STORY ADDITION, EXISTING COMMERCIAL ON LOWER LEVEL AND EXISTING RESIDENITAL ON UPPER LEVEL","837 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"08/12/2019","PREPLN19-0015","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION - DESIGN REVIEW TEAM REVIEW - PROPOSED RESIDENTIAL DEVELOPMENT PROJECT ON 2.0 ACRES OF FORMER NAS PROPERTY, SOUTHWEST CORNER OF BETTE STREET AND MOSLEY AVE EXTENSION.","300 MOSLEY AVE, ALAMEDA CA 94501","Closed",,
"07/25/2019","PREPLN19-0014","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - CONVERT EXISTING BASEMENT TO ATTACH ACCESSORY DWELLING UNIT.  EXCAVATE TO ACHIEVE LEGAL CEILING HEIGHT FOR HABITABLE AREA OF 1,100 SQ.FT. APPROXIMATELY.","2866 CENTRAL AVE, ALAMEDA CA 94501","Closed",,
"06/05/2019","PREPLN19-0013","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW - SECOND REVIEW - CONVERT EXISTING HISTORIC FIREHOUSE TO A DUPLEX","1703 GRAND ST, ALAMEDA CA 94501","Closed",,
"05/21/2019","PREPLN19-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW PROPOSED SUBDIVISION OF 1.29 ACRE LOT INTO FIFTEEN NEW PARCELS","1514 BROADWAY, ALAMEDA CA 94501","Closed",,
"04/25/2019","PREPLN19-0011","Planning/Pre-Application/NA/NA","PRE-APPLICATION - TWO STORY ADDITON OF APPROXIMATELY 1670 SQUARE FEET TO AN EXISTING ONE STORY SFD","30 MAITLAND DR, ALAMEDA CA 94502","Closed",,
"04/16/2019","PREPLN19-0010","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - RAISE HOME APPROX 18 INCHES TO ALLOW FOR NEW FOUNDATION AND DRAINAGE TO MITIGATE WATER INSTRUSION","1044 FOUNTAIN ST, ALAMEDA CA 94501","Closed",,
"04/02/2019","PREPLN19-0009","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF PROPOSED REBUILD OF DETACHED GARAGE, EXISTING GARAGE IS 345 SQUARE FEET AND WILL NOT BE EXPANDED, PROPOSED GARAGE WILL RAISE CEILING PLATE HEIGHT FROM 7 FEET TO 8 FEET","3243 MADISON ST, ALAMEDA CA 94501","Closed",,
"03/18/2019","PREPLN19-0008","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - PREAPP FOR FIXED FOOD TRAILER ON COMMERCIAL PROPERTY","2334 EAGLE AVE, ALAMEDA CA 94501","Closed",,
"02/14/2019","PREPLN19-0007","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION-  ROOFLINE CHANGES, INCREASE IN FLOOR AREA FROM 9734 SQFT, 10786 SQFT","2001 HIGH ST, ALAMEDA CA 94501","Closed",,
"02/14/2019","PREPLN19-0006","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION- DEMO EXISTING DETACHED GARAGE, NEW TWO STORY ADDITION INCLUDING A NEW SECOND UNIT","839 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"01/22/2019","PREPLN19-0005","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - EXTERIOR REMODEL OF EXISTING APARTMENT COMPLEX, MINOR ALTERATIONS TO ON-SITE LANDSCAPING, RELOCATION OF LEASING OFFICE","901 SHOREPOINT CT, ALAMEDA CA 94501","Closed",,
"01/22/2019","PREPLN19-0004","Planning/Pre-Application/NA/NA","PRE-APPLICATION - TWO STORY ADDITION AT THE REAR OF A SINGLE STORY","1628 FERNSIDE BLVD, ALAMEDA CA 94501","Closed",,
"01/14/2019","PREPLN19-0003","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW- CONVERT EXISTING HISTORIC FIREHOUSE TO A DUPLEX","1703 GRAND ST, ALAMEDA CA 94501","Closed",,
"01/10/2019","PREPLN19-0002","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION- CONDOMINIUM 2 RESIDENTIAL BUILDINGS ON THE SAME LOT. NO PHYSICAL IMPROVEMENTS","2214 SANTA CLARA AVE, ALAMEDA CA 94501","Closed",,
"01/07/2019","PREPLN19-0001","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW (DRT) - APPROXIMATELY 136,000 SQ FT 6-STORY PERSONAL STORAGE FACILITY ON 1.24 ACRE SITE","2390 MARINER SQUARE DR, ALAMEDA CA 94501","Closed",,
"12/20/2018","PREPLN18-0032","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION- 1) DEMOLISH 1231 SQFT EXISTING HOME, PRE 1942 2) ADD 1313 SQFT NEW MAIN LEVEL, 3) ADD 1427 SQSF 2ND FLOOR, 4) 699 SQFT RD FLOOR 5) ADD ADU","456 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"11/20/2018","PREPLN18-0031","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION- DEVELOPMENT PLAN FOR SOUTH SHORE CENTER ADDING MIXED USE BUILDINGS","2217 SOUTH SHORE CTR, ALAMEDA CA 94501","Closed",,
"10/29/2018","PREPLN18-0030","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION- 1) DEMOLISH 1231 SQFT EXISTING HOME, PRE 1942 2) ADD 1313 SQFT NEW MAIN LEVEL, 3) ADD 1427 SQSF 2ND FLOOR, 4) 699 SQFT RD FLOOR 5) ADD ADU","456 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"10/24/2018","PREPLN18-0029","Planning/Pre-Application/NA/NA","PRE-APPLICATION - REVIEW OF OPTIONS FOR SECOND FLOOR ADDITION TO EXISTING SINGLE FAMILY RESIDENCE","212 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"10/11/2018","PREPLN18-0028","Planning/Pre-Application/NA/NA","PREAPPLICATION- ADU, convert portion of existing garage and add 75Sqft to create an ADU","1543 THIRD ST, ALAMEDA CA 94501","Closed",,
"09/26/2018","PREPLN18-0027","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - CHANGE BALCONY RAILS AND PRIVATE FENCING IN EXISTING RESIDENTIAL DEVELOPMENT","102 CROLLS GARDEN CT, ALAMEDA CA 94501","Closed",,
"09/20/2018","PREPLN18-0026","Planning/Pre-Application/NA/NA","PREAPPLICATION- EXTERNAL EQUIPMENT PLATFORM TO SUPPORT HYDROELECTRIC TURBINE FOR TESTING","2401 MONARCH ST, ALAMEDA CA","Closed",,
"09/12/2018","PREPLN18-0025","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - ONE APPROX 7000 SF MIXED USE BUILDING AND ONE APPROX 3000 SF NEW MIXED USE BUILDING WITH 3 NEW DWELLINGS ABOVE THE GROUND FLOORS","1927 PARK ST, ALAMEDA CA 94501","Closed",,
"09/04/2018","PREPLN18-0024","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW - PROPOSED TWO-STORY COMMERCIAL PROJECT ON VACANT PARCEL","1929 WEBSTER ST, ALAMEDA CA 94501","Closed",,
"08/27/2018","PREPLN18-0023","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW (DRT) FOR APPROX 299 DWELLING UNITS IN THE NEW ALAMEDA LANDING RESIDENTIAL DEVELOPMENT","2800 FIFTH ST, ALAMEDA CA 94501","Closed",,
"08/07/2018","PREPLN18-0022","Planning/Pre-Application/NA/NA","PRE-APPLICATION - INSTALLATION OF SATELITTE DISHES","1640 SOUTH LOOP RD, ALAMEDA CA 94502","Closed",,
"07/31/2018","PREPLN18-0021","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - NEW SITE DESIGN AND BUILDING REMODEL FOR DUNKIN DONUTS","1900 PARK ST, ALAMEDA CA 94501","Closed",,
"07/25/2018","PREPLN18-0020","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION FOR 705 SQ FT SECOND FLOOR ADDITION, TO EXISTING 1135 SQ FT SINGLE FAMILY HOME.","1026 FOUNTAIN ST, ALAMEDA CA 94501","Closed",,
"07/19/2018","PREPLN18-0019","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION FOR A NEW 719 SQFT RESTAURANT W/OUTDOOR DINING DECK.","1529 PARK ST, ALAMEDA CA","Closed",,
"07/19/2018","PREPLN18-0018","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION FOR ALTERATION TO EXISTING ON STORY DWELLING TO ADD ADDITIONAL LIVING SPACE.","1926 CHESTNUT, ALAMEDA CA","Closed",,
"07/18/2018","PREPLN18-0017","Planning/Pre-Application/NA/NA","PRELIMINARY REVIEW APPLICATION FOR DEMOLITION OF EXISTING GARAGE AND CONSTRUCTION OF 264 SQFT DETACHED ADU.","1324 FOUNTAIN ST, ALAMEDA CA","Closed",,
"07/12/2018","PREPLN18-0016","Planning/Pre-Application/NA/NA","PRE-APPLICATION - 172 ROOM MARRIOTT RESIDENCE INN HOTEL & RESTURANT & RETAIL","2900 HARBOR BAY PKWY, ALAMEDA CA 94502","Closed",,
"07/10/2018","PREPLN18-0015","Planning/Pre-Application/NA/NA","Duplicate see PREPLN18-0021",,"Void",,
"07/10/2018","PREPLN18-0014","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - NEW POOL LOCATED AT REAR OF 4 UNIT PROPERTY","1529 UNION ST, ALAMEDA CA 94501","Closed",,
"06/12/2018","PREPLN18-0013","Planning/Pre-Application/NA/NA","PRE-APPLICATION - CONVERT (E) LIVING ROOM TO BEDROOM AND REDESIGN FRONT PORCH, CONVERT PORTION OF DETACHED INTO ADU","44 GARDEN RD, ALAMEDA CA 94502","Closed",,
"06/04/2018","PREPLN18-0012","Planning/Pre-Application/NA/NA","PRE-APPLICATION - ADD SECOND STORY TO REAR OF EXISTING SINGLE STORY SINGLE FAMILY RESIDENCE.","1831 BROADWAY, ALAMEDA CA 94501","Closed",,
"03/29/2018","PREPLN18-0011","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - REZONE PROPERTY AT 2388 MARINER SQUARE LOOP FROM M-2 TO M-X ZONING FOR NEW MIXED USE RESIDENTIAL DEVELOPMENT","2390 MARINER SQUARE DR, ALAMEDA CA 94501","Closed",,
"03/29/2018","PREPLN18-0010","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - ONE NEW ADU TO LEGALIZE EXISTING STRUCTURE","921 SANTA CLARA AVE, ALAMEDA CA 94501","Closed",,
"03/26/2018","PREPLN18-0009","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - NEW DETACHED ADU","1024 COLLEGE AVE, ALAMEDA CA 94501","Closed",,
"03/26/2018","PREPLN18-0008","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION REVIEW - EXCAVATE LOWER LEVEL AND ADD 300 SQ FT ADDITION AT REAR OF BUILDING","2531 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"03/21/2018","PREPLN18-0007","Planning/Pre-Application/NA/NA","PRELIMINARY APPLICATION - ADD 2 NEW RESIDENTIAL UNITS AND 2 NEW OFFICE UNITS AS SECOND STORY ADDITION","2070 LINCOLN AVE, ALAMEDA CA 94501","Closed",,
"03/19/2018","PREPLN18-0006","Planning/Pre-Application/NA/NA","VOID - CREATED IN ERROR","2947 GIBBONS DR, ALAMEDA CA 94501","Void",,
"03/06/2018","PREPLN18-0005","Planning/Pre-Application/NA/NA","PRE-APPLICATION REVIEW- EXTERIOR REMODEL OF EXISTING MCDONALDS RESTAURANT, INCLUDING NEW METAL CAP AT PARAPET, NEW TRELLIS/CANOPY SYSTEM, AND ADA UPGRADES","715 CENTRAL AVE, ALAMEDA CA","Closed",,
"02/14/2018","PREPLN18-0004","Planning/Pre-Application/NA/NA","PRE APPLICATION- REMODEL OF 516 CENTRAL AVENUE - PROJECT INCLUDES VERTICAL AND HORIZONTAL EXPANSION OF EXIST SINGLE FAMILY RESIDENCE AND ADDITION OF A SECOND UNIT- ATTACHED ADU;  ADDITION OF 2,080 SQ. FT.","516 CENTRAL AVE, ALAMEDA CA 94501","Closed",,
